N	rep	n_lines	threshold	chromosome
165064	16	4	0.125	2R
94410	16	4	0.125	3L
31219	16	4	0.125	3R
37339	16	4	0.125	X
62887	16	4	0.25	2L
70281	16	4	0.25	2R
55634	16	4	0.25	3L
45717	16	4	0.25	3R
53727	16	4	0.25	X
148859	16	8	0.05	2L
133355	16	8	0.05	2R
155217	16	8	0.05	3L
143488	16	8	0.05	3R
81672	16	8	0.05	X
108143	16	8	0.125	2L
208748	16	8	0.125	2R
141464	16	8	0.125	3L
92653	16	8	0.125	3R
91628	16	8	0.125	X
66800	16	8	0.25	2L
45889	16	8	0.25	2R
52214	16	8	0.25	3L
52364	16	8	0.25	3R
33812	16	8	0.25	X
231378	16	16	0.05	2L
188300	16	16	0.05	2R
202936	16	16	0.05	3L
214248	16	16	0.05	3R
117480	16	16	0.05	X
86866	16	16	0.125	2L
81770	16	16	0.125	2R
114300	16	16	0.125	3L
75444	16	16	0.125	3R
63863	16	16	0.125	X
34690	16	16	0.25	2L
32742	16	16	0.25	2R
40632	16	16	0.25	3L
31811	16	16	0.25	3R
29449	16	16	0.25	X
209775	16	32	0.05	2L
169752	16	32	0.05	2R
189383	16	32	0.05	3L
162247	16	32	0.05	3R
121542	16	32	0.05	X
93064	16	32	0.125	2L
84215	16	32	0.125	2R
100330	16	32	0.125	3L
70092	16	32	0.125	3R
59266	16	32	0.125	X
30555	16	32	0.25	2L
27051	16	32	0.25	2R
35861	16	32	0.25	3L
21847	16	32	0.25	3R
20609	16	32	0.25	X
206770	16	64	0.05	2L
181943	16	64	0.05	2R
195027	16	64	0.05	3L
178460	16	64	0.05	3R
122745	16	64	0.05	X
83709	16	64	0.125	2L
69850	16	64	0.125	2R
86606	16	64	0.125	3L
65114	16	64	0.125	3R
56976	16	64	0.125	X
27173	16	64	0.25	2L
20687	16	64	0.25	2R
31738	16	64	0.25	3L
22696	16	64	0.25	3R
21461	16	64	0.25	X
194159	16	128	0.05	2L
167643	16	128	0.05	2R
203623	16	128	0.05	3L
168032	16	128	0.05	3R
123328	16	128	0.05	X
71888	16	128	0.125	2L
61338	16	128	0.125	2R
80256	16	128	0.125	3L
57251	16	128	0.125	3R
51210	16	128	0.125	X
27314	16	128	0.25	2L
23117	16	128	0.25	2R
29897	16	128	0.25	3L
20176	16	128	0.25	3R
20861	16	128	0.25	X
27704	17	2	0.05	2L
18225	17	2	0.05	2R
19497	17	2	0.05	3L
34830	17	2	0.05	3R
20655	17	2	0.05	X
15028	17	2	0.125	2L
32511	17	2	0.125	2R
14718	17	2	0.125	3L
28512	17	2	0.125	3R
24270	17	2	0.125	X
35590	17	2	0.25	2L
28555	17	2	0.25	2R
29700	17	2	0.25	3L
17913	17	2	0.25	3R
30422	17	2	0.25	X
56625	17	4	0.05	2L
40045	17	4	0.05	2R
56465	17	4	0.05	3L
42313	17	4	0.05	3R
45231	17	4	0.05	X
77634	17	4	0.125	2L
49108	17	4	0.125	2R
88300	17	4	0.125	3L
39921	17	4	0.125	3R
52178	17	4	0.125	X
103040	17	4	0.25	2L
55994	17	4	0.25	2R
78471	17	4	0.25	3L
51597	17	4	0.25	3R
40608	17	4	0.25	X
153965	17	8	0.05	2L
96116	17	8	0.05	2R
135251	17	8	0.05	3L
88007	17	8	0.05	3R
92618	17	8	0.05	X
144172	17	8	0.125	2L
109258	17	8	0.125	2R
123986	17	8	0.125	3L
114324	17	8	0.125	3R
90063	17	8	0.125	X
53239	17	8	0.25	2L
49784	17	8	0.25	2R
56848	17	8	0.25	3L
37893	17	8	0.25	3R
30765	17	8	0.25	X
251149	17	16	0.05	2L
158173	17	16	0.05	2R
219848	17	16	0.05	3L
215872	17	16	0.05	3R
138004	17	16	0.05	X
81385	17	16	0.125	2L
78210	17	16	0.125	2R
98681	17	16	0.125	3L
80414	17	16	0.125	3R
59118	17	16	0.125	X
36604	17	16	0.25	2L
26014	17	16	0.25	2R
32478	17	16	0.25	3L
24899	17	16	0.25	3R
30581	17	16	0.25	X
183607	17	32	0.05	2L
143990	17	32	0.05	2R
189434	17	32	0.05	3L
168711	17	32	0.05	3R
117038	17	32	0.05	X
